user_id,kc_id,opportunity,correct,attempt_number,time_seconds,expected_time,response_time,hint_count,kc_success_history,mistake_history,annotated_action
71179.0,1.0,1.0,1,1,6.64,13.82,SLOW,0,0,0,ANSWER
71179.0,1.0,2.0,1,1,6.75,13.82,SLOW,0,1,0,ANSWER
71183.0,1.0,1.0,1,1,20.19,13.82,SLOW,0,0,0,ANSWER
71183.0,1.0,2.0,1,1,5.45,13.82,SLOW,0,1,0,ANSWER
71187.0,1.0,1.0,1,1,191.27,13.82,SLOW,0,0,0,ANSWER
71187.0,1.0,2.0,1,1,70.81,13.82,SLOW,0,1,0,ANSWER
71190.0,1.0,1.0,1,1,13.25,13.82,SLOW,0,0,0,ANSWER
71190.0,1.0,2.0,1,1,56.53,13.82,SLOW,0,1,0,ANSWER
71193.0,1.0,1.0,1,1,53.25,13.82,SLOW,0,0,0,ANSWER
71193.0,1.0,2.0,1,1,9.26,13.82,SLOW,0,1,0,ANSWER
71205.0,1.0,1.0,1,1,15.9,13.82,SLOW,0,0,0,ANSWER
71205.0,1.0,2.0,1,1,5.95,13.82,SLOW,0,1,0,ANSWER
71209.0,1.0,1.0,1,1,19.78,13.82,SLOW,0,0,0,ANSWER
71209.0,1.0,2.0,1,1,9.66,13.82,SLOW,0,1,0,ANSWER
71211.0,1.0,1.0,1,1,50.05,13.82,SLOW,0,0,0,ANSWER
71211.0,1.0,2.0,1,1,35.06,13.82,SLOW,0,1,0,ANSWER
71212.0,1.0,1.0,1,1,111.94,13.82,SLOW,0,0,0,ANSWER
71212.0,1.0,2.0,1,1,5.7,13.82,SLOW,0,1,0,ANSWER
71221.0,1.0,1.0,1,1,10.39,13.82,SLOW,0,0,0,ANSWER
71221.0,1.0,2.0,1,1,4.73,13.82,SLOW,0,1,0,ANSWER
71224.0,1.0,1.0,1,1,12.2,13.82,SLOW,0,0,0,ANSWER
71224.0,1.0,2.0,1,1,8.22,13.82,SLOW,0,1,0,ANSWER
71225.0,1.0,1.0,1,1,19.33,13.82,SLOW,0,0,0,ANSWER
71225.0,1.0,2.0,0,1,15.61,13.82,SLOW,3,1,0,TEACH_PRIOR
71225.0,1.0,3.0,1,1,17.25,13.82,SLOW,0,1,1,ANSWER
71225.0,1.0,4.0,1,1,29.41,13.82,SLOW,0,2,1,ANSWER
71225.0,1.0,5.0,0,2,20.19,13.82,SLOW,4,3,1,TEACH_PRIOR
71227.0,1.0,1.0,0,2,105.39,13.82,SLOW,1,0,0,HINT
71227.0,1.0,2.0,1,1,51.81,13.82,SLOW,0,0,1,ANSWER
71227.0,1.0,3.0,1,1,15.94,13.82,SLOW,0,1,1,ANSWER
71227.0,1.0,4.0,1,1,20.7,13.82,SLOW,0,2,1,ANSWER
71230.0,1.0,1.0,1,1,14.95,13.82,SLOW,0,0,0,ANSWER
71230.0,1.0,2.0,0,3,8.41,13.82,SLOW,3,1,0,TEACH_PRIOR
71230.0,1.0,3.0,0,3,9.48,13.82,SLOW,0,1,1,TEACH_PRIOR
71230.0,1.0,4.0,1,1,20.81,13.82,SLOW,0,1,2,ANSWER
71230.0,1.0,5.0,1,1,3.31,13.82,FAST,0,2,2,ANSWER
